"","County","No. of people age 65y and older, in thousands","Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"2841","Chesterfield County, Virginia",56.7,"10.7 (10.1, 11.3)","6.1 (5.8, 6.4)",8.9,55.8,17.1,2.6
"2842","Clarke County, Virginia",3.2,"10.8 (10.2, 11.4)","0.4 (0.3, 0.4)",11.3,52.8,5.7,2.5
"2843","Craig County, Virginia",1.3,"10.4 (9.9, 11)","0.1 (0.1, 0.1)",12.5,53.9,0.7,0.4
"2844","Culpeper County, Virginia",8.8,"10.9 (10.4, 11.5)","1 (0.9, 1)",9.7,53.9,12.3,3
"2845","Cumberland County, Virginia",2.3,"13.2 (12.6, 13.8)","0.3 (0.3, 0.3)",10.8,54.6,31.2,0.7
"2846","Dickenson County, Virginia",3.3,"10.1 (9.6, 10.6)","0.3 (0.3, 0.4)",10.4,53.4,0.6,0.5
"2847","Dinwiddie County, Virginia",5.3,"12.8 (12.3, 13.4)","0.7 (0.7, 0.7)",9.3,54.7,33.3,0.9
"2848","Essex County, Virginia",2.7,"12.8 (12.2, 13.4)","0.3 (0.3, 0.4)",10.6,55,30.7,1.3
"2849","Fairfax County, Virginia",165.5,"11.1 (10.4, 11.8)","18.4 (17.3, 19.5)",11.5,54.3,7.7,8
"2850","Fauquier County, Virginia",12.3,"10.9 (10.4, 11.5)","1.3 (1.3, 1.4)",10.6,53.6,8.6,2.5
"2851","Floyd County, Virginia",3.8,"10.1 (9.6, 10.6)","0.4 (0.4, 0.4)",10.2,52.6,1.9,1.3
"2852","Fluvanna County, Virginia",5.7,"10.8 (10.3, 11.4)","0.6 (0.6, 0.7)",9.7,54.5,10.8,1.6
"2853","Franklin County, Virginia",13.9,"10.3 (9.8, 10.9)","1.4 (1.4, 1.5)",9.8,52.8,6.7,0.7
"2854","Frederick County, Virginia",16.7,"10.4 (9.9, 11)","1.7 (1.6, 1.8)",11.1,53.4,2.5,2.4
"2855","Giles County, Virginia",3.7,"10.3 (9.8, 10.9)","0.4 (0.4, 0.4)",10.7,54.9,1.9,0.8
"2856","Gloucester County, Virginia",7.7,"10.9 (10.4, 11.5)","0.8 (0.8, 0.9)",10.4,54,9.8,1.3
"2857","Goochland County, Virginia",5.7,"10.8 (10.3, 11.3)","0.6 (0.6, 0.6)",9.3,52.4,13.9,0.9
"2858","Grayson County, Virginia",4,"10.6 (10.1, 11.2)","0.4 (0.4, 0.4)",11.8,53.6,2.4,0.7
"2859","Greene County, Virginia",3.8,"10 (9.4, 10.5)","0.4 (0.4, 0.4)",9,55.2,6,1.5
"2860","Greensville County, Virginia",1.8,"13.8 (13.2, 14.4)","0.2 (0.2, 0.3)",7.9,54,52.6,0.3
"2861","Halifax County, Virginia",8.6,"14 (13.4, 14.6)","1.2 (1.1, 1.3)",12.2,56.9,34.4,0.9
"2862","Hanover County, Virginia",20.3,"10.8 (10.3, 11.4)","2.2 (2.1, 2.3)",10.7,55,9.3,0.9
"2863","Henrico County, Virginia",54.9,"12.8 (12.2, 13.5)","7 (6.7, 7.4)",12.6,58.8,25.7,1.9
"2864","Henry County, Virginia",12.5,"13.1 (12.5, 13.7)","1.6 (1.6, 1.7)",12.6,55.7,21.8,0.8
"2865","Highland County, Virginia",0.8,"9.4 (8.9, 9.9)","0.1 (0.1, 0.1)",8.7,50.4,0.6,0.6
"2866","Isle of Wight County, Virginia",7.6,"12.2 (11.6, 12.7)","0.9 (0.9, 1)",10.6,54.4,23.9,0.8
"2867","James City County, Virginia",20.8,"11.4 (10.8, 12)","2.4 (2.2, 2.5)",11.8,54.6,8.3,1.5
"2868","King and Queen County, Virginia",1.7,"12.7 (12.1, 13.3)","0.2 (0.2, 0.2)",11.9,53.7,26.5,1.1
"2869","King George County, Virginia",3.9,"11.3 (10.8, 11.9)","0.4 (0.4, 0.5)",9.8,52,17.3,1.6
"2870","King William County, Virginia",3,"11.4 (10.9, 12)","0.3 (0.3, 0.4)",9.5,55.4,19.8,0.8
"2871","Lancaster County, Virginia",4,"12.8 (12.2, 13.4)","0.5 (0.5, 0.5)",13.8,55,15.7,0.8
"2872","Lee County, Virginia",5.4,"9.9 (9.4, 10.4)","0.5 (0.5, 0.6)",9.8,52.6,0.7,0.4
"2873","Loudoun County, Virginia",42.9,"11.1 (10.4, 11.7)","4.7 (4.5, 5)",11.4,55,6.8,6.9
"2874","Louisa County, Virginia",7.9,"10.7 (10.2, 11.3)","0.9 (0.8, 0.9)",8.4,51.8,16.5,1
"2875","Lunenburg County, Virginia",2.9,"12.9 (12.3, 13.4)","0.4 (0.4, 0.4)",9.9,55,32.3,1.1
"2876","Madison County, Virginia",3.1,"11 (10.5, 11.6)","0.3 (0.3, 0.4)",11,54.3,9.3,1.2
"2877","Mathews County, Virginia",2.8,"11.5 (10.9, 12)","0.3 (0.3, 0.3)",11.5,53.8,8.8,0.6
"2878","Mecklenburg County, Virginia",8.2,"13.2 (12.6, 13.9)","1.1 (1, 1.1)",11.4,55.7,28.8,1.2
"2879","Middlesex County, Virginia",3.5,"12.1 (11.6, 12.7)","0.4 (0.4, 0.4)",11.5,53.3,14.7,0.8
"2880","Montgomery County, Virginia",13.6,"10.3 (9.8, 10.9)","1.4 (1.3, 1.5)",11.3,55.2,2.9,0.9
"2881","Nelson County, Virginia",4.2,"10.5 (9.9, 11)","0.4 (0.4, 0.5)",8.8,53.2,11.1,0.9
"2882","New Kent County, Virginia",4.4,"9.4 (8.9, 9.9)","0.4 (0.4, 0.4)",6,51.9,13,1.2
"2883","Northampton County, Virginia",3.3,"13.5 (12.9, 14.2)","0.5 (0.4, 0.5)",12.8,56.2,27.1,1.5
"2884","Northumberland County, Virginia",4.6,"11.8 (11.2, 12.3)","0.5 (0.5, 0.6)",10.7,51.5,14.2,0.9
"2885","Nottoway County, Virginia",2.9,"14 (13.4, 14.6)","0.4 (0.4, 0.4)",12,56.1,34.8,1.6
"2886","Orange County, Virginia",7.9,"11.3 (10.7, 11.8)","0.9 (0.8, 0.9)",11,55.8,10.1,1.7
"2887","Page County, Virginia",5.3,"10.3 (9.8, 10.9)","0.5 (0.5, 0.6)",10.8,53.6,2.1,0.9
"2888","Patrick County, Virginia",4.8,"10.8 (10.3, 11.4)","0.5 (0.5, 0.5)",10.5,53.7,4.7,0.9
"2889","Pittsylvania County, Virginia",14.4,"12.1 (11.5, 12.6)","1.7 (1.7, 1.8)",10.4,54.5,21.2,0.7
"2890","Powhatan County, Virginia",5.9,"9.9 (9.4, 10.4)","0.6 (0.6, 0.6)",7.9,51.8,10.5,0.8
"2891","Prince Edward County, Virginia",3.9,"14.5 (13.9, 15.2)","0.6 (0.5, 0.6)",14.5,57.2,33,1.3
"2892","Prince George County, Virginia",5.8,"12.2 (11.6, 12.7)","0.7 (0.7, 0.7)",10.5,53.4,24.9,1.9
"2893","Prince William County, Virginia",50.9,"11 (10.4, 11.7)","5.6 (5.3, 6)",8.7,55.1,17,10.2
"2894","Pulaski County, Virginia",8,"10.3 (9.8, 10.8)","0.8 (0.8, 0.9)",10.1,55.3,4.2,0.7
"2895","Rappahannock County, Virginia",2,"10.5 (10, 11.1)","0.2 (0.2, 0.2)",10.7,51.9,4.4,1.7
"2896","Richmond County, Virginia",2,"14.2 (13.6, 14.9)","0.3 (0.3, 0.3)",15.9,59,21.9,1.3
"2897","Roanoke County, Virginia",21.1,"11.1 (10.5, 11.6)","2.3 (2.2, 2.5)",12.8,57.2,4.2,0.9
"2898","Rockbridge County, Virginia",6.2,"10.8 (10.3, 11.4)","0.7 (0.6, 0.7)",11.9,51.9,2.4,0.6
"2899","Rockingham County, Virginia",16.4,"10.9 (10.3, 11.4)","1.8 (1.7, 1.9)",12.9,54,1.2,1.7
"2900","Russell County, Virginia",6.1,"10.3 (9.8, 10.8)","0.6 (0.6, 0.7)",11.2,54.8,1.3,0.5
"2901","Scott County, Virginia",5.5,"10.7 (10.2, 11.2)","0.6 (0.6, 0.6)",11.9,53.4,0.8,0.3
"2902","Shenandoah County, Virginia",9.8,"10.5 (10, 11.1)","1 (1, 1.1)",11.4,54,1.5,1.6
"2903","Smyth County, Virginia",7,"10.9 (10.3, 11.4)","0.8 (0.7, 0.8)",12.9,56.1,1,1
"2904","Southampton County, Virginia",3.8,"13.7 (13, 14.3)","0.5 (0.5, 0.5)",11.3,53.1,34.4,0.7
"2905","Spotsylvania County, Virginia",20.8,"11.1 (10.5, 11.7)","2.3 (2.2, 2.4)",10.4,55.3,13.8,3.3
"2906","Stafford County, Virginia",17.2,"10.5 (9.9, 11.1)","1.8 (1.7, 1.9)",8.6,54.7,13.7,5.2
"2907","Surry County, Virginia",1.6,"13.9 (13.3, 14.5)","0.2 (0.2, 0.2)",9.3,53.4,43.7,1.1
"2908","Sussex County, Virginia",2,"15.5 (14.9, 16.2)","0.3 (0.3, 0.3)",11.4,55.1,52.4,0.9
"2909","Tazewell County, Virginia",9.6,"10.4 (9.9, 10.9)","1 (0.9, 1)",11.8,55.6,1.9,0.4
"2910","Warren County, Virginia",6.9,"10 (9.5, 10.5)","0.7 (0.7, 0.7)",9.7,53.1,4.6,1.7
"2911","Washington County, Virginia",13.1,"10.2 (9.7, 10.7)","1.3 (1.3, 1.4)",10.4,54.1,1.1,0.6
"2912","Westmoreland County, Virginia",4.8,"12.1 (11.5, 12.7)","0.6 (0.6, 0.6)",9.5,53.5,22.7,1.4
"2913","Wise County, Virginia",7.3,"9.6 (9.1, 10.1)","0.7 (0.7, 0.7)",9.7,54,1.2,0.5
"2914","Wythe County, Virginia",6.4,"10.5 (9.9, 11)","0.7 (0.6, 0.7)",11,55.1,2.8,0.6
"2915","York County, Virginia",11.9,"11.8 (11.2, 12.3)","1.4 (1.3, 1.5)",11.5,54.7,13.1,1.7
"2916","Alexandria City, Virginia",19.8,"11.9 (11.2, 12.5)","2.3 (2.2, 2.5)",11.5,57.1,17.5,8
"2917","Bristol City, Virginia",3.8,"11.4 (10.9, 12)","0.4 (0.4, 0.5)",13.3,60.2,4.1,0.7
"2918","Buena Vista City, Virginia",1.2,"10.8 (10.3, 11.4)","0.1 (0.1, 0.1)",10.6,58.9,4.3,1
"2919","Charlottesville City, Virginia",6,"11.2 (10.6, 11.7)","0.7 (0.6, 0.7)",9.9,56.9,19.4,1.9
"2920","Chesapeake City, Virginia",34.6,"12.4 (11.8, 13)","4.3 (4.1, 4.5)",10,57,28.7,1.9
"2921","Colonial Heights City, Virginia",3.4,"12.2 (11.6, 12.9)","0.4 (0.4, 0.4)",15.2,60.2,5.7,2.3
"2922","Covington City, Virginia",1.1,"11.4 (10.9, 12)","0.1 (0.1, 0.1)",9.6,58.4,15.9,1.2
"2923","Danville City, Virginia",8.5,"14.6 (13.9, 15.2)","1.2 (1.2, 1.3)",13.9,61,37.9,1
"2924","Emporia City, Virginia",1.1,"18.1 (17.4, 18.9)","0.2 (0.2, 0.2)",19.3,58.3,51.6,1.5
"2925","Fairfax City, Virginia",3.6,"11.3 (10.7, 12)","0.4 (0.4, 0.4)",13,58.1,3.2,8.1
"2926","Falls Church City, Virginia",2.1,"10.3 (9.7, 10.9)","0.2 (0.2, 0.2)",10.4,56.5,3.7,5.8
"2927","Franklin City, Virginia",1.6,"14.6 (14, 15.3)","0.2 (0.2, 0.2)",12.3,59.5,39.8,1.1
"2928","Fredericksburg City, Virginia",3.5,"12 (11.4, 12.6)","0.4 (0.4, 0.4)",10.9,58.3,19.2,3.9
"2929","Galax City, Virginia",1.2,"12.9 (12.2, 13.5)","0.2 (0.1, 0.2)",18.5,62.4,5.5,3.1
"2930","Hampton City, Virginia",21.8,"14.8 (14.2, 15.5)","3.2 (3.1, 3.4)",11,57.8,48.5,2.3
"2931","Harrisonburg City, Virginia",5.4,"11.6 (11, 12.3)","0.6 (0.6, 0.7)",14.3,56.7,5,6.6
"2932","Hopewell City, Virginia",3.6,"13.2 (12.5, 13.8)","0.5 (0.4, 0.5)",11.4,60.6,27.3,3.2
"2933","Lexington City, Virginia",1.1,"12.8 (12.2, 13.4)","0.1 (0.1, 0.1)",14.9,59.6,10.6,1.5
"2934","Lynchburg City, Virginia",11.9,"13.9 (13.3, 14.6)","1.7 (1.6, 1.7)",15.7,59.4,23.9,1.2
"2935","Manassas City, Virginia",4.4,"10.6 (9.9, 11.3)","0.5 (0.4, 0.5)",8.6,55,14.1,12.6
"2936","Manassas Park City, Virginia",1.6,"12.1 (11.3, 12.9)","0.2 (0.2, 0.2)",10.4,55,17.3,16.5
"2937","Martinsville City, Virginia",2.2,"13 (12.4, 13.6)","0.3 (0.3, 0.3)",9.4,60.8,35.1,1.9
"2938","Newport News City, Virginia",24.3,"13.6 (13, 14.3)","3.3 (3.2, 3.5)",11.9,59.2,34.2,3.5
"2939","Norfolk City, Virginia",28.9,"13.8 (13.1, 14.4)","4 (3.8, 4.2)",11.5,57.7,39,2.5
"2940","Norton City, Virginia",0.8,"11.4 (10.8, 12)","0.1 (0.1, 0.1)",13.4,61.3,5.4,1.2
"2941","Petersburg City, Virginia",5.3,"18 (17.3, 18.7)","1 (0.9, 1)",12.2,61.2,77.6,1.6
"2942","Poquoson City, Virginia",2.4,"10.6 (10, 11.1)","0.3 (0.2, 0.3)",11.2,53.5,1.4,1.2
"2943","Portsmouth City, Virginia",14.5,"14.9 (14.3, 15.6)","2.2 (2.1, 2.3)",11.8,58.9,48,1.1
"2944","Radford City, Virginia",1.8,"10.3 (9.8, 10.8)","0.2 (0.2, 0.2)",10.6,56.7,8.2,1
"2945","Richmond City, Virginia",32.8,"14.8 (14.2, 15.5)","4.9 (4.7, 5.1)",12.5,57.8,50,1.9
"2946","Roanoke City, Virginia",17.1,"12.5 (11.9, 13.1)","2.1 (2, 2.2)",12.5,59.4,23.9,1.9
"2947","Salem City, Virginia",5,"11.2 (10.7, 11.8)","0.6 (0.5, 0.6)",12.7,58.1,5.6,0.8
"2948","Staunton City, Virginia",5.4,"11.5 (11, 12.1)","0.6 (0.6, 0.7)",12.9,58.5,9,1.3
"2949","Suffolk City, Virginia",14.3,"13.3 (12.7, 13.9)","1.9 (1.8, 2)",10.6,56.1,36.3,1.3
"2950","Virginia Beach City, Virginia",68.3,"11.6 (11, 12.2)","7.9 (7.5, 8.4)",11.6,57.1,14.3,3.1
"2951","Waynesboro City, Virginia",4.1,"11.6 (11, 12.2)","0.5 (0.5, 0.5)",12.4,57.6,8.6,3
"2952","Williamsburg City, Virginia",2.7,"11.6 (11.1, 12.2)","0.3 (0.3, 0.3)",11.6,55.5,10.8,1.5
"2953","Winchester City, Virginia",4.7,"11.2 (10.6, 11.8)","0.5 (0.5, 0.6)",12,56.2,8.6,4.3
"2954","Adams County, Washington",2.3,"11.3 (10.4, 12.3)","0.3 (0.2, 0.3)",11.8,52.4,0.7,26.4
"2955","Asotin County, Washington",5.6,"10.6 (10, 11.1)","0.6 (0.6, 0.6)",12.2,52.4,0.4,1
"2956","Benton County, Washington",32.5,"10.1 (9.5, 10.7)","3.3 (3.1, 3.5)",10.6,53.4,1,5.9
"2957","Chelan County, Washington",15.7,"10.4 (9.8, 11)","1.6 (1.5, 1.7)",12,52.9,0.2,6.3
"2958","Clallam County, Washington",24.4,"10.1 (9.5, 10.6)","2.5 (2.3, 2.6)",11.1,53.6,0.3,1.9
"2959","Clark County, Washington",81.4,"9.6 (9.1, 10.1)","7.8 (7.4, 8.2)",9.5,54.6,1.4,2.8
"2960","Columbia County, Washington",1.2,"10.6 (10, 11.1)","0.1 (0.1, 0.1)",11.6,51.9,0.3,1.9
"2961","Cowlitz County, Washington",21.9,"9.9 (9.4, 10.4)","2.2 (2, 2.3)",10.3,53,0.5,2.1
"2962","Douglas County, Washington",8,"10.3 (9.7, 11)","0.8 (0.8, 0.9)",10.9,53,0.2,7.1
"2963","Ferry County, Washington",2.3,"8.9 (8.4, 9.5)","0.2 (0.2, 0.2)",8,49,0.4,2.3
"2964","Franklin County, Washington",9.8,"10.2 (9.3, 11)","1 (0.9, 1.1)",8.5,52.4,2.2,22.9
"2965","Garfield County, Washington",0.6,"10.6 (10.1, 11.2)","0.1 (0.1, 0.1)",14.1,52.8,0.2,1.2
"2966","Grant County, Washington",14.3,"10.6 (9.8, 11.3)","1.5 (1.4, 1.6)",11,52,0.9,13.3
"2967","Grays Harbor County, Washington",17.5,"9.4 (8.9, 9.9)","1.6 (1.5, 1.7)",9.3,52.1,0.7,2.1
"2968","Island County, Washington",22.2,"9.7 (9.1, 10.2)","2.1 (2, 2.3)",9.7,53.3,0.8,1.8
"2969","Jefferson County, Washington",12.8,"9.2 (8.6, 9.7)","1.2 (1.1, 1.2)",8.3,51.9,0.7,1.4
"2970","King County, Washington",311.2,"10.8 (10.2, 11.3)","33.5 (31.7, 35.3)",12.4,55.4,4.8,3.2
"2971","Kitsap County, Washington",51.5,"9.7 (9.2, 10.2)","5 (4.7, 5.3)",9.9,54,1.3,2.5
"2972","Kittitas County, Washington",8.4,"9.6 (9.1, 10.1)","0.8 (0.8, 0.9)",9.9,50.6,0.5,1.8
"2973","Klickitat County, Washington",5.7,"9.2 (8.7, 9.7)","0.5 (0.5, 0.5)",8.3,50.6,0.2,2.9
"2974","Lewis County, Washington",17.8,"9.7 (9.2, 10.3)","1.7 (1.6, 1.8)",9.8,52.2,0.4,2.5
"2975","Lincoln County, Washington",3,"10.3 (9.8, 10.9)","0.3 (0.3, 0.3)",12.2,50.5,0.4,1.4
"2976","Mason County, Washington",16.3,"9.2 (8.7, 9.8)","1.5 (1.4, 1.6)",8.3,51.6,0.5,2.3
"2977","Okanogan County, Washington",9.8,"9.6 (9.1, 10.2)","0.9 (0.9, 1)",10,50.3,0.3,4.1
"2978","Pacific County, Washington",7.6,"9.4 (8.8, 10)","0.7 (0.7, 0.8)",8.5,52.3,0.4,4.3
"2979","Pend Oreille County, Washington",3.9,"8.8 (8.3, 9.3)","0.3 (0.3, 0.4)",7.9,49.1,0.3,1.9
"2980","Pierce County, Washington",131.7,"10.3 (9.7, 10.9)","13.6 (12.8, 14.3)",10.7,55.5,5,3.2
"2981","San Juan County, Washington",6.2,"9.1 (8.6, 9.6)","0.6 (0.5, 0.6)",8,51.4,0.4,1.9
"2982","Skagit County, Washington",28.6,"10 (9.4, 10.6)","2.9 (2.7, 3)",10.5,53.6,0.4,4.4
"2983","Skamania County, Washington",2.9,"9.3 (8.8, 9.8)","0.3 (0.3, 0.3)",10,48.9,0.4,3.1
"2984","Snohomish County, Washington",119.2,"9.8 (9.2, 10.3)","11.6 (11, 12.3)",10.4,55.1,1.5,3.1
"2985","Spokane County, Washington",89.4,"10 (9.4, 10.5)","8.9 (8.4, 9.4)",10.9,54.7,1,2
"2986","Stevens County, Washington",11.5,"9.2 (8.7, 9.7)","1.1 (1, 1.1)",8.7,50.6,0.4,1.6
"2987","Thurston County, Washington",53.5,"9.8 (9.3, 10.3)","5.2 (5, 5.5)",10.1,55.5,1.7,2.8
"2988","Wahkiakum County, Washington",1.5,"9.3 (8.8, 9.8)","0.1 (0.1, 0.1)",8.8,49.8,0.6,1.8
"2989","Walla Walla County, Washington",11.8,"11.2 (10.6, 11.8)","1.3 (1.2, 1.4)",14,54.5,0.8,6.5
"2990","Whatcom County, Washington",42.3,"9.8 (9.2, 10.3)","4.1 (3.9, 4.4)",10.2,54.1,0.6,3
"2991","Whitman County, Washington",5.5,"10.3 (9.8, 10.9)","0.6 (0.5, 0.6)",11.9,52.6,0.8,1.7
"2992","Yakima County, Washington",36.2,"11.3 (10.4, 12.2)","4.1 (3.8, 4.4)",12,54,0.7,19.7
"2993","Barbour County, West Virginia",3.5,"10.2 (9.6, 10.7)","0.4 (0.3, 0.4)",11,51.8,0.7,0.6
"2994","Berkeley County, West Virginia",18.8,"9.4 (8.8, 9.9)","1.8 (1.7, 1.9)",7.8,53.3,5.4,2
"2995","Boone County, West Virginia",4.5,"9.4 (8.9, 9.9)","0.4 (0.4, 0.4)",9.2,53.8,1.1,0.2
"2996","Braxton County, West Virginia",3.3,"10 (9.5, 10.5)","0.3 (0.3, 0.3)",10.7,52.7,0.7,0.5
"2997","Brooke County, West Virginia",5.4,"10.4 (9.9, 10.9)","0.6 (0.5, 0.6)",11.9,55.2,0.9,0.4
"2998","Cabell County, West Virginia",18,"10.8 (10.2, 11.3)","1.9 (1.8, 2)",12.1,56.5,3.6,0.6
"2999","Calhoun County, West Virginia",1.8,"9.8 (9.3, 10.3)","0.2 (0.2, 0.2)",10.4,50.4,0.4,0.6
"3000","Clay County, West Virginia",1.8,"9.8 (9.3, 10.3)","0.2 (0.2, 0.2)",10,50.2,0.4,0.8
"3001","Doddridge County, West Virginia",1.9,"10 (9.5, 10.6)","0.2 (0.2, 0.2)",11,49.6,0.1,0.6
"3002","Fayette County, West Virginia",9.4,"10.4 (9.8, 10.9)","1 (0.9, 1)",10.9,54.2,4.6,0.7
"3003","Gilmer County, West Virginia",1.4,"11.3 (10.8, 11.9)","0.2 (0.2, 0.2)",15.1,51.8,1.1,0.6
"3004","Grant County, West Virginia",2.9,"10.7 (10.1, 11.2)","0.3 (0.3, 0.3)",12,52,1.2,0.5
"3005","Greenbrier County, West Virginia",8.3,"10.3 (9.8, 10.9)","0.9 (0.8, 0.9)",10.7,54.3,2.8,0.7
"3006","Hampshire County, West Virginia",5.5,"9.7 (9.2, 10.3)","0.5 (0.5, 0.6)",10.4,50.4,1,0.6
"3007","Hancock County, West Virginia",6.9,"10.8 (10.3, 11.4)","0.7 (0.7, 0.8)",13,55.8,2.6,0.8
"3008","Hardy County, West Virginia",3.1,"9.7 (9.2, 10.3)","0.3 (0.3, 0.3)",8.1,51.9,2.5,1.8
"3009","Harrison County, West Virginia",13.5,"10.6 (10.1, 11.2)","1.4 (1.4, 1.5)",12.4,55.8,1.2,1.1
"3010","Jackson County, West Virginia",6.1,"10.3 (9.8, 10.9)","0.6 (0.6, 0.7)",11.4,54.3,0.2,0.6
"3011","Jefferson County, West Virginia",10,"9.7 (9.2, 10.2)","1 (0.9, 1)",8.6,53.3,5.7,2.2
"3012","Kanawha County, West Virginia",38.3,"10.5 (10, 11.1)","4 (3.8, 4.2)",11.4,56.3,5.1,0.4
"3013","Lewis County, West Virginia",3.3,"9.7 (9.2, 10.2)","0.3 (0.3, 0.3)",9.5,53.1,0.2,0.5
"3014","Lincoln County, West Virginia",4.1,"9.5 (9, 10)","0.4 (0.4, 0.4)",9.1,53.2,0.2,0.4
"3015","Logan County, West Virginia",6.9,"9.5 (9, 10)","0.7 (0.6, 0.7)",9.1,54.8,2.2,0.8
"3016","McDowell County, West Virginia",3.9,"10.8 (10.3, 11.4)","0.4 (0.4, 0.4)",11,54.5,9.7,0.5
"3017","Marion County, West Virginia",11.1,"10.5 (10, 11)","1.2 (1.1, 1.2)",11.4,55,2.7,0.7
"3018","Marshall County, West Virginia",7.2,"9.9 (9.4, 10.4)","0.7 (0.7, 0.7)",10.8,54.7,0.6,0.8
"3019","Mason County, West Virginia",5.9,"10.3 (9.8, 10.8)","0.6 (0.6, 0.6)",11.6,54.8,0.4,0.3
"3020","Mercer County, West Virginia",13.3,"10.6 (10, 11.1)","1.4 (1.3, 1.5)",11.2,56.4,4.7,0.5
"3021","Mineral County, West Virginia",6,"9.9 (9.4, 10.5)","0.6 (0.6, 0.6)",9,53.8,2.3,0.6
"3022","Mingo County, West Virginia",4.7,"9.1 (8.6, 9.6)","0.4 (0.4, 0.5)",8.3,53.1,2.4,0.7
"3023","Monongalia County, West Virginia",14.4,"9.9 (9.4, 10.4)","1.4 (1.3, 1.5)",11,54.1,1.9,1.1
"3024","Monroe County, West Virginia",3.4,"10.2 (9.6, 10.7)","0.3 (0.3, 0.4)",10.1,52.4,0.8,0.5
"3025","Morgan County, West Virginia",4.4,"9.7 (9.2, 10.2)","0.4 (0.4, 0.5)",9.6,52,0.5,0.9
"3026","Nicholas County, West Virginia",5.8,"9.7 (9.2, 10.2)","0.6 (0.5, 0.6)",9.6,52.4,0.2,0.3
"3027","Ohio County, West Virginia",9.4,"11.3 (10.7, 11.8)","1.1 (1, 1.1)",14.7,57.4,2.5,0.4
"3028","Pendleton County, West Virginia",2,"11.5 (10.9, 12)","0.2 (0.2, 0.2)",14.4,52.2,2.1,0.4
"3029","Pleasants County, West Virginia",1.4,"9.8 (9.3, 10.3)","0.1 (0.1, 0.1)",9.1,53.2,0.5,0.5
"3030","Pocahontas County, West Virginia",2.2,"10.1 (9.6, 10.7)","0.2 (0.2, 0.2)",10.1,51.4,0.3,1.5
"3031","Preston County, West Virginia",7.2,"9.6 (9.1, 10.1)","0.7 (0.7, 0.7)",9.6,53.3,0.3,0.6
"3032","Putnam County, West Virginia",10.9,"9.8 (9.3, 10.3)","1.1 (1, 1.1)",9.7,54.8,0.8,0.5
"3033","Raleigh County, West Virginia",15.9,"10.5 (10, 11)","1.7 (1.6, 1.8)",11.1,54.9,5.6,0.6
"3034","Randolph County, West Virginia",6.5,"10.4 (9.8, 10.9)","0.7 (0.6, 0.7)",11.5,52.9,0.4,0.5
"3035","Ritchie County, West Virginia",2.2,"10.3 (9.8, 10.8)","0.2 (0.2, 0.2)",11,53.3,0.5,0.7
"3036","Roane County, West Virginia",3.1,"9.8 (9.3, 10.4)","0.3 (0.3, 0.3)",10.4,51.8,0.3,0.5
"3037","Summers County, West Virginia",3.3,"10.5 (10, 11)","0.4 (0.3, 0.4)",12.6,53.2,1.9,0.4
"3038","Taylor County, West Virginia",3.5,"10.1 (9.6, 10.7)","0.4 (0.3, 0.4)",11.2,53.9,0.9,0.4
"3039","Tucker County, West Virginia",1.9,"10.3 (9.8, 10.9)","0.2 (0.2, 0.2)",11.1,51,0.3,0.2
"3040","Tyler County, West Virginia",2,"10.2 (9.7, 10.7)","0.2 (0.2, 0.2)",11.7,51.6,0.2,0.1
"3041","Upshur County, West Virginia",5.2,"10.1 (9.6, 10.6)","0.5 (0.5, 0.6)",10.7,52.6,0.4,0.7
"3042","Wayne County, West Virginia",8.7,"10.3 (9.8, 10.9)","0.9 (0.9, 0.9)",11.3,54.2,0.3,0.4
"3043","Webster County, West Virginia",2,"9.8 (9.3, 10.3)","0.2 (0.2, 0.2)",10.6,52.8,0.2,0.4
"3044","Wetzel County, West Virginia",3.5,"10.7 (10.1, 11.2)","0.4 (0.4, 0.4)",12,54.8,0.3,0.7
"3045","Wirt County, West Virginia",1.2,"9.3 (8.8, 9.8)","0.1 (0.1, 0.1)",8.4,48.1,0.3,0.2
"3046","Wood County, West Virginia",17.6,"10.2 (9.7, 10.7)","1.8 (1.7, 1.9)",10.7,56,0.8,0.5
"3047","Wyoming County, West Virginia",4.6,"9.1 (8.6, 9.6)","0.4 (0.4, 0.4)",8.8,52.3,0.8,0.6
"3048","Adams County, Wisconsin",6.3,"9.3 (8.8, 9.8)","0.6 (0.6, 0.6)",8,48.7,0.7,1.3
"3049","Ashland County, Wisconsin",3.2,"9.5 (9, 10)","0.3 (0.3, 0.3)",9.7,51.9,0.3,0.9
"3050","Barron County, Wisconsin",10.4,"10.3 (9.8, 10.8)","1.1 (1, 1.1)",11.8,52.8,0.5,0.7
"3051","Bayfield County, Wisconsin",4.5,"9.2 (8.7, 9.7)","0.4 (0.4, 0.4)",9.2,49.7,0.3,0.6
"3052","Brown County, Wisconsin",42,"10.1 (9.5, 10.6)","4.2 (4, 4.5)",11.3,54.9,0.6,2.1
"3053","Buffalo County, Wisconsin",3,"10.4 (9.9, 10.9)","0.3 (0.3, 0.3)",11.8,49.3,0.2,0.5
"3054","Burnett County, Wisconsin",4.7,"9.5 (9, 10)","0.4 (0.4, 0.5)",9.7,49.1,0.4,0.4
"3055","Calumet County, Wisconsin",8.3,"9.8 (9.3, 10.3)","0.8 (0.8, 0.9)",10.8,52.9,0.4,1
